id,gender,age,income,marital,education,min_offer
0,F,55,112000.0,divorced,tertiary education,309
1,F,75,100000.0,single,upper secondary and post-secondary non-tertiary,140
2,M,68,70000.0,divorced,tertiary education,138
3,M,65,53000.0,single,upper secondary and post-secondary non-tertiary,171
4,M,58,51000.0,single,upper secondary and post-secondary non-tertiary,146
5,F,61,57000.0,married,tertiary education,1
6,M,26,46000.0,single,tertiary education,89
7,F,62,71000.0,married,upper secondary and post-secondary non-tertiary,60
8,M,49,52000.0,single,upper secondary and post-secondary non-tertiary,46
9,M,57,42000.0,married,tertiary education,59
10,F,61,40000.0,married,tertiary education,45
11,F,40,71000.0,married,tertiary education,174
12,M,64,100000.0,married,tertiary education,176
13,F,78,71000.0,married,upper secondary and post-secondary non-tertiary,79
14,M,42,69000.0,single,upper secondary and post-secondary non-tertiary,99
15,F,56,88000.0,divorced,tertiary education,117
16,F,33,52000.0,single,tertiary education,129
17,F,46,59000.0,married,tertiary education,46
18,M,59,41000.0,single,upper secondary and post-secondary non-tertiary,53
19,M,67,96000.0,married,tertiary education,14
20,O,53,52000.0,divorced,tertiary education,0
21,M,22,70000.0,single,upper secondary and post-secondary non-tertiary,115
22,F,96,89000.0,divorced,tertiary education,165
23,M,40,33000.0,separated,tertiary education,8
24,F,69,57000.0,married,tertiary education,186
25,M,56,68000.0,married,upper secondary and post-secondary non-tertiary,0
26,F,26,63000.0,married,tertiary education,65
27,M,75,40000.0,married,tertiary education,32
28,F,20,30000.0,single,upper secondary and post-secondary non-tertiary,75
29,M,45,33000.0,married,tertiary education,81
30,M,61,98000.0,married,tertiary education,113
31,F,69,37000.0,single,below upper secondary,50
32,F,54,80000.0,single,upper secondary and post-secondary non-tertiary,8
33,M,39,51000.0,married,tertiary education,0
34,F,41,41000.0,married,tertiary education,26
35,F,79,48000.0,married,tertiary education,55
36,F,66,38000.0,married,upper secondary and post-secondary non-tertiary,84
37,F,56,52000.0,married,tertiary education,114
38,F,39,56000.0,married,tertiary education,34
39,M,42,96000.0,single,upper secondary and post-secondary non-tertiary,66
40,F,78,93000.0,married,tertiary education,0
41,M,45,48000.0,married,upper secondary and post-secondary non-tertiary,0
42,M,29,50000.0,single,tertiary education,0
43,M,44,35000.0,single,below upper secondary,103
44,M,63,56000.0,married,upper secondary and post-secondary non-tertiary,27
45,M,36,56000.0,single,upper secondary and post-secondary non-tertiary,31
46,F,76,47000.0,divorced,tertiary education,0
47,M,68,87000.0,married,upper secondary and post-secondary non-tertiary,154
48,M,75,52000.0,married,tertiary education,0
49,M,67,76000.0,single,below upper secondary,59
50,M,77,51000.0,married,tertiary education,5
51,M,76,64000.0,married,upper secondary and post-secondary non-tertiary,88
52,M,57,98000.0,divorced,tertiary education,47
53,F,53,72000.0,married,tertiary education,0
54,F,53,117000.0,divorced,tertiary education,113
55,F,53,55000.0,single,upper secondary and post-secondary non-tertiary,78
56,F,61,112000.0,divorced,tertiary education,119
57,F,67,77000.0,single,below upper secondary,100
58,F,58,85000.0,married,tertiary education,31
59,F,46,36000.0,married,upper secondary and post-secondary non-tertiary,22
60,M,30,41000.0,single,upper secondary and post-secondary non-tertiary,13
61,M,59,89000.0,married,tertiary education,56
62,M,51,41000.0,divorced,tertiary education,7
63,M,27,35000.0,single,upper secondary and post-secondary non-tertiary,0
64,M,40,53000.0,married,tertiary education,62
65,F,73,91000.0,married,tertiary education,54
66,F,74,107000.0,single,upper secondary and post-secondary non-tertiary,0
67,M,42,66000.0,single,upper secondary and post-secondary non-tertiary,96
68,M,78,58000.0,married,tertiary education,5
69,F,54,53000.0,married,tertiary education,55
70,F,70,74000.0,divorced,tertiary education,127
71,F,49,57000.0,married,upper secondary and post-secondary non-tertiary,64
72,F,62,57000.0,single,upper secondary and post-secondary non-tertiary,121
73,M,64,70000.0,married,upper secondary and post-secondary non-tertiary,0
74,F,89,87000.0,divorced,tertiary education,122
75,M,73,51000.0,married,tertiary education,16
76,F,50,93000.0,married,tertiary education,12
77,F,90,98000.0,separated,tertiary education,41
78,F,68,84000.0,widowed,tertiary education,57
79,M,60,64000.0,single,upper secondary and post-secondary non-tertiary,67
80,M,45,54000.0,single,upper secondary and post-secondary non-tertiary,0
81,M,66,49000.0,married,tertiary education,93
82,F,19,73000.0,single,upper secondary and post-secondary non-tertiary,106
83,F,66,58000.0,married,tertiary education,0
84,F,72,72000.0,married,tertiary education,179
85,M,76,63000.0,single,upper secondary and post-secondary non-tertiary,182
86,M,52,78000.0,married,tertiary education,169
87,M,55,31000.0,single,upper secondary and post-secondary non-tertiary,25
88,F,39,60000.0,married,tertiary education,0
89,F,45,44000.0,single,upper secondary and post-secondary non-tertiary,90
90,F,57,114000.0,married,upper secondary and post-secondary non-tertiary,68
91,M,74,48000.0,single,below upper secondary,106
92,M,18,47000.0,married,upper secondary and post-secondary non-tertiary,56
93,M,53,96000.0,divorced,tertiary education,189
94,F,59,98000.0,married,tertiary education,132
95,M,57,46000.0,married,tertiary education,78
96,F,51,56000.0,married,tertiary education,56
97,F,64,37000.0,married,upper secondary and post-secondary non-tertiary,103
98,M,71,57000.0,married,upper secondary and post-secondary non-tertiary,64
99,F,64,66000.0,married,tertiary education,92
100,M,83,46000.0,single,upper secondary and post-secondary non-tertiary,132
