age,gender,marital,education,category,frequency,amount
2,0,1,1,5,1,385.0
2,0,1,1,16,1,92.6
2,0,1,1,19,15,34.02333333333333
2,0,1,1,3,2,157.965
2,0,1,1,5,2,38.555
2,0,1,1,7,1,78.36
2,0,1,1,9,0,0.0
2,0,1,1,11,1,20.0
2,0,1,1,18,4,33.55
2,0,1,1,19,24,29.310416666666665
2,0,1,1,20,2,27.92
2,0,1,1,3,2,234.945
2,0,1,1,5,1,215.0
2,0,1,1,6,1,365.95
2,0,1,1,16,1,84.92
2,0,1,1,19,22,25.397727272727273
2,0,1,1,20,1,217.78
2,0,1,1,3,3,119.89666666666669
2,0,1,1,5,1,23.5
2,0,1,1,11,1,37.96
2,0,1,1,18,3,8.166666666666666
2,0,1,1,19,10,32.609
2,0,1,1,20,6,57.23333333333333
2,0,1,1,5,5,46.028000000000006
2,0,1,1,11,1,12.3
2,0,1,1,18,2,36.5
2,0,1,1,19,14,22.725
2,0,1,1,20,3,35.89666666666667
2,0,1,1,5,1,149.97
2,0,1,1,6,1,577.0
2,0,1,1,9,0,0.0
2,0,1,1,10,1,366.27
2,0,1,1,11,1,67.75
2,0,1,1,16,2,88.85
2,0,1,1,19,9,36.86333333333333
2,0,1,1,3,2,274.79
2,0,1,1,5,2,170.0
2,0,1,1,6,4,152.655
2,0,1,1,12,1,300.0
2,0,1,1,19,22,39.35409090909091
2,0,1,1,20,1,42.0
2,0,1,1,3,2,236.995
2,0,1,1,5,2,85.72
2,0,1,1,11,1,47.0
2,0,1,1,14,1,170.72
2,0,1,1,18,5,34.339999999999996
2,0,1,1,19,12,26.272499999999997
2,0,1,1,20,3,31.873333333333335
2,0,1,1,3,2,124.83000000000001
2,0,1,1,6,1,151.79
2,0,1,1,7,1,26.47
2,0,1,1,8,1,110.0
2,0,1,1,12,1,128.0
2,0,1,1,18,6,48.76666666666666
2,0,1,1,19,7,37.18142857142857
2,0,1,1,20,1,54.4
2,0,1,1,3,1,179.99
2,0,1,1,16,1,135.0
2,0,1,1,19,4,19.41
2,0,1,1,3,2,221.85
2,0,1,1,5,2,49.0
2,0,1,1,16,1,62.21
2,0,1,1,19,3,33.583333333333336
2,0,1,1,3,3,93.23333333333333
2,0,1,1,7,2,72.955
2,0,1,1,8,1,149.0
2,0,1,1,17,1,139.9
2,0,1,1,18,2,31.66
2,0,1,1,19,2,20.595
2,0,1,1,20,1,11.5
2,0,1,1,5,3,59.32666666666666
2,0,1,1,11,1,50.0
2,0,1,1,18,2,70.25
2,0,1,1,20,2,191.68
0,0,3,2,19,1,422.26
0,0,3,2,5,4,41.95
0,0,3,2,18,7,18.895714285714288
0,0,3,2,19,1,180.0
0,0,3,2,20,1,12.0
0,0,3,2,3,1,30.0
0,0,3,2,19,3,209.91666666666666
0,0,3,2,20,1,13.0
0,0,3,2,18,6,15.358333333333334
0,0,3,2,19,9,25.114444444444445
0,0,3,2,18,4,63.215
0,0,3,2,19,9,26.942222222222227
0,0,3,2,18,1,20.0
0,0,3,2,19,5,87.738
0,0,3,2,18,3,16.433333333333334
0,0,3,2,19,7,57.95428571428572
0,0,3,2,20,4,10.25
0,0,3,2,3,1,109.8
0,0,3,2,8,1,9.99
0,0,3,2,18,5,22.248
0,0,3,2,19,4,14.107500000000002
0,0,3,2,20,1,3.5
0,0,3,2,19,8,27.438750000000002
0,0,3,2,18,1,18.5
0,0,3,2,19,13,59.99461538461538
0,0,3,2,18,2,4.0
0,0,3,2,19,3,158.49333333333334
0,0,3,2,18,13,36.880769230769225
3,1,4,1,11,1,108.0
3,1,4,1,18,7,459.2957142857144
3,1,4,1,19,1,70.0
3,1,4,1,20,4,202.035
3,1,4,1,5,3,158.23
3,1,4,1,7,4,76.0125
3,1,4,1,11,3,100.67666666666666
3,1,4,1,16,1,89.99
3,1,4,1,18,4,5.250000000000001
3,1,4,1,19,4,20.625
3,1,4,1,20,7,203.02857142857144
3,1,4,1,1,1,34.9
3,1,4,1,3,1,79.0
3,1,4,1,5,5,1132.592
3,1,4,1,7,4,127.12500000000001
3,1,4,1,10,1,369.99
3,1,4,1,11,3,187.46
3,1,4,1,13,1,1819.5
3,1,4,1,18,4,63.025000000000006
