age,gender,date,amount,category,id,marital,education
32,F,2019-11-29,25.56,Service,0,married,tertiary education
32,F,2020-02-01,27.35,Service,0,married,tertiary education
32,F,2019-05-14,14.5,Supermarket,0,married,tertiary education
32,F,2019-05-12,13.12,Service,0,married,tertiary education
32,F,2019-05-12,12.67,Service,0,married,tertiary education
32,F,2019-05-12,78.36,Drugstores,0,married,tertiary education
32,F,2019-05-12,,Financial Transfers,0,married,tertiary education
32,F,2019-07-23,39.0,Supermarket,0,married,tertiary education
32,F,2019-07-23,169.99,Clothing,0,married,tertiary education
32,F,2019-06-29,19.8,Service,0,married,tertiary education
32,F,2020-01-11,32.9,Service,0,married,tertiary education
32,F,2019-12-18,19.9,Restaurant,0,married,tertiary education
32,F,2019-12-18,13.0,Restaurant,0,married,tertiary education
32,F,2019-12-18,128.0,Hospital or Clinic,0,married,tertiary education
32,F,2019-06-12,30.35,Service,0,married,tertiary education
32,F,2019-04-29,21.1,Service,0,married,tertiary education
32,F,2019-10-21,40.0,Convenience Store,0,married,tertiary education
32,F,2019-07-04,59.9,Clothing,0,married,tertiary education
32,F,2019-09-21,144.0,Service,0,married,tertiary education
32,F,2019-09-28,12.42,Service,0,married,tertiary education
32,F,2019-09-28,13.85,Service,0,married,tertiary education
32,F,2019-04-28,37.12,Service,0,married,tertiary education
32,F,2019-08-15,29.86,Supermarket,0,married,tertiary education
32,F,2019-08-15,90.51,Convenience Store,0,married,tertiary education
32,F,2019-12-11,14.51,Service,0,married,tertiary education
32,F,2019-04-26,7.6,Service,0,married,tertiary education
32,F,2019-09-09,14.58,Service,0,married,tertiary education
32,F,2020-01-29,18.89,Service,0,married,tertiary education
32,F,2019-11-27,10.0,Restaurant,0,married,tertiary education
32,F,2019-10-21,42.0,Supermarket,0,married,tertiary education
32,F,2019-06-06,18.53,Service,0,married,tertiary education
32,F,2019-05-02,31.38,Service,0,married,tertiary education
32,F,2020-01-29,179.99,Clothing,0,married,tertiary education
32,F,2020-02-11,32.9,Service,0,married,tertiary education
32,F,2019-07-20,7.5,Service,0,married,tertiary education
32,F,2019-07-20,37.96,Gas Station,0,married,tertiary education
32,F,2019-11-27,170.72,Jewelry,0,married,tertiary education
32,F,2019-10-09,14.65,Service,0,married,tertiary education
32,F,2020-01-29,12.94,Service,0,married,tertiary education
32,F,2020-01-29,12.91,Service,0,married,tertiary education
32,F,2019-07-06,6.9,Service,0,married,tertiary education
32,F,2019-07-07,26.19,Service,0,married,tertiary education
32,F,2019-06-02,217.78,Supermarket,0,married,tertiary education
32,F,2019-09-22,12.4,Service,0,married,tertiary education
32,F,2019-09-23,577.0,Department Store,0,married,tertiary education
32,F,2020-03-11,32.9,Service,0,married,tertiary education
32,F,2020-03-11,11.5,Supermarket,0,married,tertiary education
32,F,2020-03-01,30.0,Restaurant,0,married,tertiary education
32,F,2019-10-30,12.9,Service,0,married,tertiary education
32,F,2019-10-31,299.6,Clothing,0,married,tertiary education
32,F,2019-10-31,47.0,Department Store,0,married,tertiary education
32,F,2019-11-08,47.0,Gas Station,0,married,tertiary education
32,F,2019-08-16,16.64,Service,0,married,tertiary education
32,F,2019-08-17,62.83,Supermarket,0,married,tertiary education
32,F,2019-08-17,24.36,Convenience Store,0,married,tertiary education
32,F,2019-08-19,12.3,Gas Station,0,married,tertiary education
32,F,2019-08-19,17.66,Service,0,married,tertiary education
32,F,2019-08-15,26.08,Service,0,married,tertiary education
32,F,2019-08-16,29.78,Service,0,married,tertiary education
32,F,2019-08-16,70.0,Service,0,married,tertiary education
32,F,2019-11-22,12.99,Service,0,married,tertiary education
32,F,2019-11-22,17.92,Service,0,married,tertiary education
32,F,2019-06-07,16.9,Service,0,married,tertiary education
32,F,2019-05-17,59.99,Convenience Store,0,married,tertiary education
32,F,2019-06-07,23.07,Service,0,married,tertiary education
32,F,2019-06-09,51.9,Service,0,married,tertiary education
32,F,2019-11-08,48.0,Service,0,married,tertiary education
32,F,2019-11-08,13.5,Supermarket,0,married,tertiary education
32,F,2019-09-10,32.9,Service,0,married,tertiary education
32,F,2019-09-10,,Financial Transfers,0,married,tertiary education
32,F,2019-04-26,29.0,Service,0,married,tertiary education
32,F,2019-04-26,90.0,Service,0,married,tertiary education
32,F,2020-03-10,149.0,Electronics,0,married,tertiary education
32,F,2019-12-14,32.64,Service,0,married,tertiary education
32,F,2019-12-14,20.0,Service,0,married,tertiary education
32,F,2019-12-14,110.0,Electronics,0,married,tertiary education
32,F,2019-06-23,23.27,Service,0,married,tertiary education
32,F,2019-10-16,245.13,Service,0,married,tertiary education
32,F,2020-04-25,10.9,Convenience Store,0,married,tertiary education
32,F,2019-10-21,15.78,Service,0,married,tertiary education
32,F,2020-04-25,50.51,Convenience Store,0,married,tertiary education
32,F,2019-08-22,56.0,Restaurant,0,married,tertiary education
32,F,2019-05-07,13.21,Service,0,married,tertiary education
32,F,2019-11-23,31.8,Restaurant,0,married,tertiary education
32,F,2019-10-30,9.3,Service,0,married,tertiary education
32,F,2019-10-30,13.07,Service,0,married,tertiary education
32,F,2019-07-23,62.97,Supermarket,0,married,tertiary education
32,F,2019-07-24,9.1,Restaurant,0,married,tertiary education
32,F,2019-07-24,78.28,Service,0,married,tertiary education
32,F,2019-07-24,62.0,Service,0,married,tertiary education
32,F,2019-07-24,129.8,Clothing,0,married,tertiary education
32,F,2019-07-24,23.5,Convenience Store,0,married,tertiary education
32,F,2019-12-03,23.71,Service,0,married,tertiary education
32,F,2019-06-06,64.98,Service,0,married,tertiary education
32,F,2020-04-25,32.0,Restaurant,0,married,tertiary education
32,F,2019-05-06,13.49,Service,0,married,tertiary education
32,F,2019-05-06,20.0,Service,0,married,tertiary education
32,F,2019-05-05,17.12,Convenience Store,0,married,tertiary education
32,F,2019-06-10,19.86,Service,0,married,tertiary education
32,F,2019-06-28,215.0,Convenience Store,0,married,tertiary education
32,F,2019-09-06,74.0,Service,0,married,tertiary education
32,F,2019-05-20,14.34,Service,0,married,tertiary education
32,F,2019-05-20,13.39,Service,0,married,tertiary education
32,F,2019-05-20,13.33,Service,0,married,tertiary education
32,F,2019-05-06,13.2,Service,0,married,tertiary education
32,F,2019-05-06,34.61,Service,0,married,tertiary education
32,F,2019-11-12,17.45,Supermarket,0,married,tertiary education
32,F,2020-04-18,50.0,Gas Station,0,married,tertiary education
32,F,2020-04-18,269.99,Supermarket,0,married,tertiary education
32,F,2020-04-18,113.37,Supermarket,0,married,tertiary education
32,F,2019-06-25,219.9,Clothing,0,married,tertiary education
32,F,2019-05-19,177.0,Service,0,married,tertiary education
32,F,2019-12-11,32.9,Service,0,married,tertiary education
32,F,2020-04-22,108.5,Restaurant,0,married,tertiary education
32,F,2019-10-30,176.68,Department Store,0,married,tertiary education
32,F,2019-10-30,2.16,Service,0,married,tertiary education
32,F,2019-10-02,197.96,Department Store,0,married,tertiary education
32,F,2019-10-21,15.33,Service,0,married,tertiary education
32,F,2020-03-10,33.32,Restaurant,0,married,tertiary education
32,F,2019-05-07,33.9,Service,0,married,tertiary education
32,F,2019-05-07,13.19,Service,0,married,tertiary education
32,F,2019-04-05,44.05,Service,0,married,tertiary education
32,F,2019-10-04,239.8,Service,0,married,tertiary education
32,F,2019-10-04,21.98,Service,0,married,tertiary education
32,F,2019-10-04,14.1,Service,0,married,tertiary education
32,F,2019-06-14,40.39,Service,0,married,tertiary education
32,F,2019-06-14,32.0,Service,0,married,tertiary education
32,F,2019-06-07,5.0,Service,0,married,tertiary education
32,F,2020-02-09,18.1,Convenience Store,0,married,tertiary education
32,F,2019-08-16,13.92,Service,0,married,tertiary education
32,F,2019-12-19,29.8,Restaurant,0,married,tertiary education
32,F,2019-07-26,5.5,Restaurant,0,married,tertiary education
32,F,2019-07-04,64.0,Supermarket,0,married,tertiary education
32,F,2020-02-08,40.5,Service,0,married,tertiary education
32,F,2019-08-13,10.1,Service,0,married,tertiary education
32,F,2019-11-03,70.0,Restaurant,0,married,tertiary education
32,F,2019-11-03,37.48,Service,0,married,tertiary education
32,F,2020-02-14,79.9,Convenience Store,0,married,tertiary education
32,F,2019-05-03,40.2,Service,0,married,tertiary education
32,F,2019-06-20,30.0,Service,0,married,tertiary education
32,F,2019-06-20,20.4,Service,0,married,tertiary education
32,F,2019-06-20,21.9,Service,0,married,tertiary education
32,F,2019-09-05,14.8,Service,0,married,tertiary education
32,F,2019-10-26,14.64,Service,0,married,tertiary education
32,F,2019-10-26,300.0,Convenience Store,0,married,tertiary education
32,F,2019-08-14,71.87,Convenience Store,0,married,tertiary education
32,F,2019-06-03,17.89,Service,0,married,tertiary education
32,F,2019-06-04,249.99,Clothing,0,married,tertiary education
